Board,Processor,IDE,Framework,Code Template
Arduino_Mega,atmega2560,PlatformIO IDE for VSCode,Arduino,Blink
Arduino_Mega,atmega2560,PlatformIO IDE for VSCode,Arduino,Blink FreeRTOS
Arduino_Nano,atmega328p,PlatformIO IDE for VSCode,Arduino,Blink
Arduino_Nano,atmega328p,PlatformIO IDE for VSCode,Arduino,Blink FreeRTOS
Arduino_Uno,atmega328p,PlatformIO IDE for VSCode,Arduino,Blink
Arduino_Uno,atmega328p,PlatformIO IDE for VSCode,Arduino,Blink FreeRTOS
Blue_Pill,stm32f103c8t6,PlatformIO IDE for VSCode,Arduino,Blink
Blue_Pill,stm32f103c8t6,PlatformIO IDE for VSCode,Arduino,Blink FreeRTOS
Blue_Pill,stm32f103c8t6,PlatformIO IDE for VSCode,CMSIS,Blink
Breadboard,atmega328p,MPLAB X IDE,XC8,Blink
Breadboard,atmega2560,MPLAB X IDE,XC8,Blink
Breadboard,attiny85,MPLAB X IDE,XC8,Blink
Breadboard,PIC16F1516,MPLAB X IDE,XC8,Blink
Breadboard,PIC16F18324,MPLAB X IDE,XC8,Blink
Breadboard,PIC16F18855,MPLAB X IDE,XC8,Blink
Breadboard,PIC16F1619,MPLAB X IDE,XC8,Blink
Breadboard,PIC16F1788,MPLAB X IDE,XC8,Blink
Breadboard,PIC16F1789,MPLAB X IDE,XC8,Blink
Breadboard,PIC16F1827,MPLAB X IDE,XC8,Blink
Breadboard,PIC16F1829,MPLAB X IDE,XC8,Blink
Breadboard,PIC16F1847,MPLAB X IDE,XC8,Blink
Breadboard,PIC16F1939,MPLAB X IDE,XC8,Blink
Breadboard,PIC16F1947,MPLAB X IDE,XC8,Blink
Breadboard,PIC16F628A,MPLAB X IDE,XC8,Blink
Breadboard,PIC16F648A,MPLAB X IDE,XC8,Blink
Breadboard,PIC16F688,MPLAB X IDE,XC8,Blink
Breadboard,PIC16F84A,MPLAB X IDE,XC8,Blink
Breadboard,PIC16F777,MPLAB X IDE,XC8,Blink
Breadboard,PIC16F819,MPLAB X IDE,XC8,Blink
Breadboard,PIC16F877A,MPLAB X IDE,XC8,Blink
Breadboard,PIC16F886,MPLAB X IDE,XC8,Blink
Breadboard,PIC16F887,MPLAB X IDE,XC8,Blink
Breadboard,PIC18F24Q10,MPLAB X IDE,XC8,Blink
Breadboard,PIC18F24Q10,MPLAB X IDE,XC8,Blink FreeRTOS
Breadboard,PIC18F26K80,MPLAB X IDE,XC8,Blink
Breadboard,PIC18F26K80,MPLAB X IDE,XC8,Blink FreeRTOS
Breadboard,PIC18F27K40,MPLAB X IDE,XC8,Blink
Breadboard,PIC18F27K40,MPLAB X IDE,XC8,Blink FreeRTOS
Breadboard,PIC18F452,MPLAB X IDE,XC8,Blink
Breadboard,PIC18F452,MPLAB X IDE,XC8,Blink FreeRTOS
Breadboard,PIC18F4520,MPLAB X IDE,XC8,Blink
Breadboard,PIC18F4520,MPLAB X IDE,XC8,Blink FreeRTOS
Breadboard,PIC18F4550,MPLAB X IDE,XC8,Blink
Breadboard,PIC18F4550,MPLAB X IDE,XC8,Blink FreeRTOS
Breadboard,PIC18F45K50,MPLAB X IDE,XC8,Blink
Breadboard,PIC18F45K50,MPLAB X IDE,XC8,Blink FreeRTOS
Breadboard,PIC18F4580,MPLAB X IDE,XC8,Blink
Breadboard,PIC18F4580,MPLAB X IDE,XC8,Blink FreeRTOS
Breadboard,PIC18F4620,MPLAB X IDE,XC8,Blink
Breadboard,PIC18F4620,MPLAB X IDE,XC8,Blink FreeRTOS
Breadboard,PIC18F46J50,MPLAB X IDE,XC8,Blink
Breadboard,PIC18F46J50,MPLAB X IDE,XC8,Blink FreeRTOS
Breadboard,PIC18F47K40,MPLAB X IDE,XC8,Blink
Breadboard,PIC18F47K40,MPLAB X IDE,XC8,Blink FreeRTOS
Breadboard,PIC18F67J60,MPLAB X IDE,XC8,Blink
Breadboard,PIC18F67J60,MPLAB X IDE,XC8,Blink FreeRTOS
Breadboard,PIC18F67J94,MPLAB X IDE,XC8,Blink
Breadboard,PIC18F67J94,MPLAB X IDE,XC8,Blink FreeRTOS
Curiosity,PIC16F1619,MPLAB X IDE,XC8,Blink
Curiosity_HPC,PIC18F47K40,MPLAB X IDE,XC8,Blink
Curiosity_HPC,PIC18F47K40,MPLAB X IDE,XC8,Blink FreeRTOS
ESP32_C3_DevKitC_02,ESP32-C3,PlatformIO IDE for VSCode,Arduino,Blink
ESP32_C3_DevKitC_02,ESP32-C3,PlatformIO IDE for VSCode,Arduino,Blink FreeRTOS
ESP32_C3_DevKitC_02,ESP32-C3,PlatformIO IDE for VSCode,IDF,Blink
ESP32_DevKitC,ESP32,PlatformIO IDE for VSCode,Arduino,Blink
ESP32_DevKitC,ESP32,PlatformIO IDE for VSCode,Arduino,Blink FreeRTOS
ESP32_DevKitC,ESP32,PlatformIO IDE for VSCode,IDF,Blink
Franzininho_DIY,attiny85,PlatformIO IDE for VSCode,Arduino,Blink
K16F,PIC16F628A,MPLAB X IDE,XC8,Blink
K16F,PIC16F648A,MPLAB X IDE,XC8,Blink
K16F,PIC16F84A,MPLAB X IDE,XC8,Blink
McLab1,PIC16F628A,MPLAB X IDE,XC8,Blink
McLab1,PIC16F648A,MPLAB X IDE,XC8,Blink
McLab1,PIC16F84A,MPLAB X IDE,XC8,Blink
McLab2,PIC16F1789,MPLAB X IDE,XC8,Blink
McLab2,PIC16F1939,MPLAB X IDE,XC8,Blink
McLab2,PIC16F777,MPLAB X IDE,XC8,Blink
McLab2,PIC16F877A,MPLAB X IDE,XC8,Blink
McLab2,PIC16F887,MPLAB X IDE,XC8,Blink
McLab2,PIC18F452,MPLAB X IDE,XC8,Blink
McLab2,PIC18F452,MPLAB X IDE,XC8,Blink FreeRTOS
McLab2,PIC18F4520,MPLAB X IDE,XC8,Blink
McLab2,PIC18F4520,MPLAB X IDE,XC8,Blink FreeRTOS
McLab2,PIC18F4550,MPLAB X IDE,XC8,Blink
McLab2,PIC18F4550,MPLAB X IDE,XC8,Blink FreeRTOS
McLab2,PIC18F45K50,MPLAB X IDE,XC8,Blink
McLab2,PIC18F45K50,MPLAB X IDE,XC8,Blink FreeRTOS
McLab2,PIC18F4580,MPLAB X IDE,XC8,Blink
McLab2,PIC18F4580,MPLAB X IDE,XC8,Blink FreeRTOS
McLab2,PIC18F4620,MPLAB X IDE,XC8,Blink
McLab2,PIC18F4620,MPLAB X IDE,XC8,Blink FreeRTOS
McLab2,PIC18F47K40,MPLAB X IDE,XC8,Blink
McLab2,PIC18F47K40,MPLAB X IDE,XC8,Blink FreeRTOS
PICGenios,PIC16F1789,MPLAB X IDE,XC8,Blink
PICGenios,PIC16F1789,MPLAB X IDE,XC8,Blink PICGenios
PICGenios,PIC16F1939,MPLAB X IDE,XC8,Blink
PICGenios,PIC16F1939,MPLAB X IDE,XC8,Blink PICGenios
PICGenios,PIC16F777,MPLAB X IDE,XC8,Blink
PICGenios,PIC16F777,MPLAB X IDE,XC8,Blink PICGenios
PICGenios,PIC16F877A,MPLAB X IDE,XC8,Blink
PICGenios,PIC16F877A,MPLAB X IDE,XC8,Blink PICGenios
PICGenios,PIC16F887,MPLAB X IDE,XC8,Blink
PICGenios,PIC16F887,MPLAB X IDE,XC8,Blink PICGenios
PICGenios,PIC18F452,MPLAB X IDE,XC8,Blink
PICGenios,PIC18F452,MPLAB X IDE,XC8,Blink FreeRTOS
PICGenios,PIC18F452,MPLAB X IDE,XC8,Blink PICGenios
PICGenios,PIC18F4520,MPLAB X IDE,XC8,Blink
PICGenios,PIC18F4520,MPLAB X IDE,XC8,Blink FreeRTOS
PICGenios,PIC18F4520,MPLAB X IDE,XC8,Blink PICGenios
PICGenios,PIC18F4550,MPLAB X IDE,XC8,Blink
PICGenios,PIC18F4550,MPLAB X IDE,XC8,Blink FreeRTOS
PICGenios,PIC18F4550,MPLAB X IDE,XC8,Blink PICGenios
PICGenios,PIC18F45K50,MPLAB X IDE,XC8,Blink
PICGenios,PIC18F45K50,MPLAB X IDE,XC8,Blink FreeRTOS
PICGenios,PIC18F45K50,MPLAB X IDE,XC8,Blink PICGenios
PICGenios,PIC18F4580,MPLAB X IDE,XC8,Blink
PICGenios,PIC18F4580,MPLAB X IDE,XC8,Blink FreeRTOS
PICGenios,PIC18F4580,MPLAB X IDE,XC8,Blink PICGenios
